sample_id,family_id,label,subtype,scenario,behavior_mode,observation_profile,frame_count,simulator_version,feature_version,requested_depth_mode,fps,seed,split,attempted_missing_fraction,camera_residual_enabled,tracking_drift_enabled,feature_status,feature_config_id,rejection_reason,v_mean,v_std,a_mean,turn_rate_mean,turn_rate_p95,heading_change_ratio,straightness,stationary_ratio,bbox_area_mean,bbox_area_cv,bbox_scale_rate_std,observed_points,duration_seconds,nominal_fps,clock,missing_fraction,longest_missing_seconds,long_gap_count,mean_conf,boundary_fraction,usable_segments,retained_points,heading_valid_fraction,retained_duration_seconds,training_length_group
20260906:sudden_dash:53:bird:pigeon:noisy,20260906:sudden_dash:53,bird,pigeon,sudden_dash,foraging_zigzag,noisy,367,3.0.0,3.0.0,crossing,30.0,20260906,train,0.8719346049046321,True,True,accepted,3b9a6c638c3f3519,,31.071358066092397,0.891120112107323,18.10074233544376,0.3010476622818762,0.6979272151473764,0.1702127659574468,0.996135230823007,0.0,3.22074093197552e-06,0.06368327275801042,0.08157488071165715,47.0,1.6,30.0,timestamp_ms,0.04081632653061229,0.033666666666666616,0.0,0.820976390151854,0.0,1.0,47.0,1.0,1.6,short
20260906:baseline:159:drone:hover_quad:ideal,20260906:baseline:159,drone,hover_quad,baseline,cruise,ideal,145,3.0.0,3.0.0,crossing,30.0,20260906,train,0.0,False,False,accepted,3b9a6c638c3f3519,,23.295151580863127,0.5883783973081056,0.9243264448587653,0.014603429991881352,0.03884334368279161,0.0,0.9999759672950164,0.0,2.9328414763783614e-06,0.012462672906919207,0.009109495087581559,145.0,4.8,30.0,timestamp_ms,0.0,0.0006666666666673635,0.0,1.0,0.0,1.0,145.0,1.0,4.8,standard
20260906:sudden_dash:81:drone:racing_quad:noisy,20260906:sudden_dash:81,drone,racing_quad,sudden_dash,cruise,noisy,184,3.0.0,3.0.0,crossing,30.0,20260906,train,0.40217391304347827,False,False,accepted,3b9a6c638c3f3519,,115.02134462412283,12.3065747440529,45.87258344711892,0.18890071106623738,0.4441084308832565,0.0,0.9995733822574188,0.0,1.2914500364670894e-06,0.036036402330269474,0.09732321929309982,110.0,4.133,30.002419549963708,timestamp_ms,0.12,0.03366935483870985,0.0,0.5651658078993952,0.0,1.0,110.0,1.0,4.133,standard
20260906:baseline:248:bird:pigeon:noisy,20260906:baseline:248,bird,pigeon,baseline,glide,noisy,107,3.0.0,3.0.0,approaching,30.0,20260906,train,0.01869158878504673,False,True,accepted,3b9a6c638c3f3519,,6.865770875669815,0.6930802998617326,7.869843732645448,0.5238098411786942,1.2949075747260297,0.3904761904761905,0.9889025169514677,0.0,1.6235338900280238e-05,0.15153961596573365,0.12162148038390713,105.0,3.533,30.002830455703368,timestamp_ms,0.01869158878504673,0.03266981132075478,0.0,0.9410564873282156,0.0,1.0,105.0,1.0,3.533,standard
20260906:multi_mode:115:bird:falcon:ideal,20260906:multi_mode:115,bird,falcon,multi_mode,flap_jitter,ideal,92,3.0.0,3.0.0,approaching,30.0,20260906,train,0.0,False,False,accepted,3b9a6c638c3f3519,,25.211390706706172,7.632742491956127,10.146052489787426,0.2554245108079873,0.6361860511706955,0.1,0.9788110311934122,0.0,1.9887850715224593e-06,0.07183383577388432,0.7936948936927727,92.0,3.033,30.003297065611605,timestamp_ms,0.0,0.0006703296703299208,0.0,1.0,0.0,1.0,92.0,1.0,3.033,standard
20260906:multi_mode:290:drone:consumer_quad:noisy,20260906:multi_mode:290,drone,consumer_quad,multi_mode,cruise,noisy,126,3.0.0,3.0.0,crossing,30.0,20260906,train,0.13492063492063489,True,False,accepted,3b9a6c638c3f3519,,14.84427835993867,10.605377309730127,24.276145006580265,1.683847941145144,6.2741264377931305,0.6055237722749354,0.5520560722871466,0.0,2.5789532103533344e-06,0.03550002320689844,0.17574174934788606,109.0,4.167,29.997600191984642,timestamp_ms,0.13492063492063489,0.4326640000000002,1.0,0.7774048276828555,0.0,2.0,109.0,0.981651376146789,3.7009999999999996,standard
20260906:multi_mode:272:bird:falcon:ideal,20260906:multi_mode:272,bird,falcon,multi_mode,thermal_circle,ideal,301,3.0.0,3.0.0,passing_by,30.0,20260906,train,0.5315614617940199,False,False,accepted,3b9a6c638c3f3519,,33.714894185921764,0.8493850191221856,5.509360318902382,0.07896329855773093,0.17010481711252562,0.0,0.995426062449161,0.0,3.3074427447815598e-06,0.2684824450115119,0.0655313210506677,141.0,4.667,29.99785729590744,timestamp_ms,0.0,0.0006642857142864153,0.0,1.0,0.0,1.0,141.0,1.0,4.667,standard
20260906:multi_mode:87:bird:seagull:noisy,20260906:multi_mode:87,bird,seagull,multi_mode,glide,noisy,116,3.0.0,3.0.0,crossing,30.0,20260906,train,0.051724137931034475,False,True,accepted,3b9a6c638c3f3519,,15.115301520739592,2.127979889971221,8.502822074634338,0.251194503359101,0.5811058468974857,0.08771929824561404,0.9832913373516448,0.0,1.22539018148097e-05,0.06947344343200429,0.12633094591647606,110.0,3.833,30.002608922514998,timestamp_ms,0.051724137931034475,0.06666956521739129,0.0,0.8551192838938632,0.0,1.0,110.0,1.0,3.833,standard
20260906:baseline:77:bird:pigeon:ideal,20260906:baseline:77,bird,pigeon,baseline,thermal_circle,ideal,276,3.0.0,3.0.0,crossing,30.0,20260906,train,0.0,False,False,accepted,3b9a6c638c3f3519,,17.152250218752272,7.463566256122431,7.525224250714576,0.438394994664353,2.5820772938148,0.13868613138686134,0.42293738972501765,0.0,2.033853730152925e-06,0.27488368947245173,0.14945472172140403,276.0,9.167,29.99890913057707,timestamp_ms,0.0,0.0006654545454552394,0.0,1.0,0.0,1.0,276.0,1.0,9.167,standard
20260906:sharp_turns:186:bird:falcon:noisy,20260906:sharp_turns:186,bird,falcon,sharp_turns,flap_jitter,noisy,172,3.0.0,3.0.0,receding,30.0,20260906,train,0.08720930232558144,False,False,accepted,3b9a6c638c3f3519,,31.54488197158066,12.578673436166707,19.391316863883105,0.42599284324868447,0.9504193600343724,0.3,0.858156225173785,0.0,3.7003280673341022e-06,0.3038057810433962,0.30867529744461975,157.0,5.7,30.0,timestamp_ms,0.08720930232558144,0.1336666666666665,0.0,0.7720549261631904,0.0,1.0,157.0,1.0,5.7,standard
